fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	ratio_corte	iteracion_bayesiana	ganancia
20211025 142039	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	99	TRUE	0.0820823698968161	0.672014057873457	5987	473	0.0504886676054449	1	6221250
20211025 142246	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	402	TRUE	0.0631285973370541	0.572397454848397	3576	771	0.0311096023603567	2	6861250
20211025 142324	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	153	TRUE	0.0693788012699224	0.147667653305689	2913	660	0.0421905384563803	3	6658750
20211025 142410	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	156	TRUE	0.0921422685927246	0.306985410272318	6490	315	0.0449817273519748	4	6542500
20211025 142543	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	220	TRUE	0.0283860820031259	0.509222003050672	1439	390	0.0468173741031315	5	6868750
20211025 142629	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	189	TRUE	0.0795843069138937	0.737563067884184	5107	891	0.0452750955542144	6	6798750
20211025 142717	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	147	TRUE	0.0712742909940425	0.891104239266133	2082	841	0.0489547710051633	7	6800000
20211025 142842	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	264	TRUE	0.0509670628316235	0.479737326171016	4727	586	0.0500863340709448	8	6581250
20211025 142935	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	156	TRUE	0.0476566922687925	0.352524339826778	4518	145	0.0486949305974653	9	6738750
20211025 143033	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	194	TRUE	0.0408780687954277	0.872187180095352	2442	350	0.0486446389056528	10	6496250
20211025 143118	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	165	TRUE	0.0577629631303716	0.162177805621468	438	266	0.0648301817206464	11	6082500
20211025 143202	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	205	TRUE	0.0957760952634271	0.795094242622145	7343	171	0.0487368403406424	12	7182500
20211025 143359	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	297	TRUE	0.0231125493394211	0.615253202131134	886	989	0.0500025145845906	13	7143750
20211025 143510	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	301	TRUE	0.0335041826113593	0.238316976286296	6856	938	0.0522572587675183	14	6557500
20211025 143546	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	131	TRUE	0.0385204909509048	0.947785465723427	7794	556	0.0422827398913699	15	5845000
