semilla	subsamping	oficial	meseta	ganancia
999983	1	1	11110	13662500
999983	1	0	5000	11850000
999983	1	0	5500	11975000
999983	1	0	6000	12450000
999983	1	0	6500	12775000
999983	1	0	7000	12950000
999983	1	0	7500	13425000
999983	1	0	8000	13900000
999983	1	0	8500	13775000
999983	1	0	9000	13750000
999983	1	0	9500	13625000
999983	1	0	10000	13900000
999983	1	0	10500	13825000
999983	1	0	11000	13700000
999983	1	0	11500	13775000
999983	1	0	12000	13700000
999983	1	0	12500	13575000
999983	1	0	13000	13650000
999983	1	0	13500	13575000
999983	1	0	14000	13300000
999983	1	0	14500	13225000
999983	1	0	15000	13200000
378821	1	1	11110	13412500
378821	1	0	5000	11550000
378821	1	0	5500	11775000
378821	1	0	6000	12050000
378821	1	0	6500	12525000
378821	1	0	7000	13050000
378821	1	0	7500	13275000
378821	1	0	8000	13200000
378821	1	0	8500	13475000
378821	1	0	9000	13700000
378821	1	0	9500	13825000
378821	1	0	10000	13700000
378821	1	0	10500	13475000
378821	1	0	11000	13400000
378821	1	0	11500	13725000
378821	1	0	12000	13600000
378821	1	0	12500	13475000
378821	1	0	13000	13750000
378821	1	0	13500	13625000
378821	1	0	14000	13400000
378821	1	0	14500	13275000
378821	1	0	15000	12950000
964333	1	1	11110	14012500
964333	1	0	5000	11300000
964333	1	0	5500	11925000
964333	1	0	6000	12300000
964333	1	0	6500	12575000
964333	1	0	7000	12900000
964333	1	0	7500	12875000
964333	1	0	8000	1.3e+07
964333	1	0	8500	13175000
964333	1	0	9000	13350000
964333	1	0	9500	13425000
964333	1	0	10000	13850000
964333	1	0	10500	13925000
964333	1	0	11000	1.4e+07
964333	1	0	11500	14425000
964333	1	0	12000	14350000
964333	1	0	12500	14225000
964333	1	0	13000	1.4e+07
964333	1	0	13500	13725000
964333	1	0	14000	13550000
964333	1	0	14500	13175000
964333	1	0	15000	12950000
187049	1	1	11110	13562500
187049	1	0	5000	11400000
187049	1	0	5500	11975000
187049	1	0	6000	12350000
187049	1	0	6500	12525000
187049	1	0	7000	13100000
187049	1	0	7500	13375000
187049	1	0	8000	13800000
187049	1	0	8500	14025000
187049	1	0	9000	14100000
187049	1	0	9500	13975000
187049	1	0	10000	13800000
187049	1	0	10500	13825000
187049	1	0	11000	13600000
187049	1	0	11500	13775000
187049	1	0	12000	13550000
187049	1	0	12500	13525000
187049	1	0	13000	13300000
187049	1	0	13500	12925000
187049	1	0	14000	13100000
187049	1	0	14500	12825000
187049	1	0	15000	12500000
205151	1	1	11110	13812500
205151	1	0	5000	12100000
205151	1	0	5500	12525000
205151	1	0	6000	13100000
205151	1	0	6500	13275000
205151	1	0	7000	13750000
205151	1	0	7500	13875000
205151	1	0	8000	13800000
205151	1	0	8500	13825000
205151	1	0	9000	14250000
205151	1	0	9500	14025000
205151	1	0	10000	13700000
205151	1	0	10500	13725000
205151	1	0	11000	13750000
205151	1	0	11500	13925000
205151	1	0	12000	14050000
205151	1	0	12500	13675000
205151	1	0	13000	13550000
205151	1	0	13500	13525000
205151	1	0	14000	13150000
205151	1	0	14500	12875000
205151	1	0	15000	12600000
813697	1	1	11110	13662500
813697	1	0	5000	1.1e+07
813697	1	0	5500	11775000
813697	1	0	6000	12050000
813697	1	0	6500	12575000
813697	1	0	7000	13200000
813697	1	0	7500	13975000
813697	1	0	8000	13900000
813697	1	0	8500	13975000
813697	1	0	9000	14050000
813697	1	0	9500	14125000
813697	1	0	10000	14200000
813697	1	0	10500	14125000
813697	1	0	11000	13800000
813697	1	0	11500	13775000
813697	1	0	12000	13750000
813697	1	0	12500	13525000
813697	1	0	13000	13500000
813697	1	0	13500	13225000
813697	1	0	14000	1.3e+07
813697	1	0	14500	12825000
813697	1	0	15000	12500000
344719	1	1	11110	13212500
344719	1	0	5000	12200000
344719	1	0	5500	12275000
344719	1	0	6000	12400000
344719	1	0	6500	12375000
344719	1	0	7000	12600000
344719	1	0	7500	12975000
344719	1	0	8000	13350000
344719	1	0	8500	13525000
344719	1	0	9000	13700000
344719	1	0	9500	13675000
344719	1	0	10000	13750000
344719	1	0	10500	13475000
344719	1	0	11000	13250000
344719	1	0	11500	13575000
344719	1	0	12000	13550000
344719	1	0	12500	13425000
344719	1	0	13000	13200000
344719	1	0	13500	13325000
