semilla	subsamping	oficial	meseta	ganancia_Public	ganancia_Private
999983	1	1	11191	23970833.3333333	22171428.5714286
999983	1	0	5000	21112500	17951785.7142857
999983	1	0	5500	21816666.6666667	18900000
999983	1	0	6000	21529166.6666667	19630357.1428571
999983	1	0	6500	21808333.3333333	20260714.2857143
999983	1	0	7000	22300000	20514285.7142857
999983	1	0	7500	22491666.6666667	21325000
999983	1	0	8000	22829166.6666667	21287500
999983	1	0	8500	23104166.6666667	21562500
999983	1	0	9000	23479166.6666667	21866071.4285714
999983	1	0	9500	23225000	21939285.7142857
999983	1	0	10000	23545833.3333333	22123214.2857143
999983	1	0	10500	23987500	22255357.1428571
999983	1	0	11000	24229166.6666667	22187500
999983	1	0	11500	23933333.3333333	22350000
999983	1	0	12000	24225000	22546428.5714286
999983	1	0	12500	23941666.6666667	22417857.1428571
999983	1	0	13000	23962500	22373214.2857143
999983	1	0	13500	23987500	22112500
999983	1	0	14000	23620833.3333333	21876785.7142857
999983	1	0	14500	23495833.3333333	22037500
999983	1	0	15000	23520833.3333333	21705357.1428571
999983	1	0	15500	23366666.6666667	21592857.1428571
999983	1	0	16000	22920833.3333333	21105357.1428571
999983	1	0	16500	22529166.6666667	21023214.2857143
999983	1	0	17000	22083333.3333333	20750000
999983	1	0	17500	21891666.6666667	20510714.2857143
999983	1	0	18000	21487500	20576785.7142857
999983	1	0	18500	21262500	20137500
999983	1	0	19000	20695833.3333333	19916071.4285714
999983	1	0	19500	20579166.6666667	19573214.2857143
999983	1	0	20000	20091666.6666667	19389285.7142857
378821	1	1	11191	24662500	22732142.8571429
378821	1	0	5000	19895833.3333333	16544642.8571429
378821	1	0	5500	20566666.6666667	17435714.2857143
378821	1	0	6000	21308333.3333333	18367857.1428571
378821	1	0	6500	22525000	19096428.5714286
378821	1	0	7000	22966666.6666667	19657142.8571429
378821	1	0	7500	23191666.6666667	20667857.1428571
378821	1	0	8000	23183333.3333333	20992857.1428571
378821	1	0	8500	23225000	21796428.5714286
378821	1	0	9000	23812500	22008928.5714286
378821	1	0	9500	23808333.3333333	21903571.4285714
378821	1	0	10000	23683333.3333333	22707142.8571429
378821	1	0	10500	24391666.6666667	22725000
378821	1	0	11000	24425000	22817857.1428571
378821	1	0	11500	24637500	22619642.8571429
378821	1	0	12000	24679166.6666667	22637500
378821	1	0	12500	24787500	22626785.7142857
378821	1	0	13000	24504166.6666667	22783928.5714286
378821	1	0	13500	24541666.6666667	22375000
378821	1	0	14000	24320833.3333333	22148214.2857143
378821	1	0	14500	24158333.3333333	22110714.2857143
378821	1	0	15000	23858333.3333333	21917857.1428571
378821	1	0	15500	23500000	21750000
378821	1	0	16000	23145833.3333333	21794642.8571429
378821	1	0	16500	22754166.6666667	21569642.8571429
378821	1	0	17000	22558333.3333333	21332142.8571429
378821	1	0	17500	21900000	21078571.4285714
378821	1	0	18000	21604166.6666667	20669642.8571429
378821	1	0	18500	21512500	20530357.1428571
378821	1	0	19000	20929166.6666667	20173214.2857143
378821	1	0	19500	20641666.6666667	19617857.1428571
378821	1	0	20000	20375000	19267857.1428571
964333	1	1	11191	25312500	22596428.5714286
964333	1	0	5000	18475000	17225000
964333	1	0	5500	19291666.6666667	17910714.2857143
964333	1	0	6000	20525000	18632142.8571429
964333	1	0	6500	21254166.6666667	19283928.5714286
964333	1	0	7000	21470833.3333333	20155357.1428571
964333	1	0	7500	21850000	20957142.8571429
964333	1	0	8000	22512500	21494642.8571429
964333	1	0	8500	23287500	21483928.5714286
964333	1	0	9000	23845833.3333333	21923214.2857143
964333	1	0	9500	24391666.6666667	22082142.8571429
964333	1	0	10000	25108333.3333333	22167857.1428571
964333	1	0	10500	25533333.3333333	22307142.8571429
964333	1	0	11000	25366666.6666667	22557142.8571429
964333	1	0	11500	25245833.3333333	22573214.2857143
964333	1	0	12000	25158333.3333333	22146428.5714286
964333	1	0	12500	24708333.3333333	21875000
964333	1	0	13000	24433333.3333333	22028571.4285714
964333	1	0	13500	24637500	22119642.8571429
964333	1	0	14000	23983333.3333333	22007142.8571429
964333	1	0	14500	23450000	21985714.2857143
964333	1	0	15000	23037500	21983928.5714286
964333	1	0	15500	22329166.6666667	21751785.7142857
964333	1	0	16000	21675000	21710714.2857143
964333	1	0	16500	21858333.3333333	21739285.7142857
964333	1	0	17000	21645833.3333333	21366071.4285714
964333	1	0	17500	21504166.6666667	21391071.4285714
964333	1	0	18000	20825000	21003571.4285714
964333	1	0	18500	21229166.6666667	20723214.2857143
964333	1	0	19000	20800000	20800000
964333	1	0	19500	20462500	20623214.2857143
964333	1	0	20000	20045833.3333333	20123214.2857143
187049	1	1	11191	24533333.3333333	22644642.8571429
187049	1	0	5000	20866666.6666667	16985714.2857143
187049	1	0	5500	21525000	17953571.4285714
187049	1	0	6000	21983333.3333333	18435714.2857143
187049	1	0	6500	22450000	18914285.7142857
187049	1	0	7000	23116666.6666667	19664285.7142857
187049	1	0	7500	23666666.6666667	20464285.7142857
187049	1	0	8000	23920833.3333333	20676785.7142857
187049	1	0	8500	24554166.6666667	21226785.7142857
187049	1	0	9000	24225000	21332142.8571429
187049	1	0	9500	24729166.6666667	22151785.7142857
187049	1	0	10000	24858333.3333333	22489285.7142857
187049	1	0	10500	24704166.6666667	22448214.2857143
187049	1	0	11000	24583333.3333333	22607142.8571429
187049	1	0	11500	24808333.3333333	22832142.8571429
187049	1	0	12000	24229166.6666667	22830357.1428571
187049	1	0	12500	24125000	22767857.1428571
187049	1	0	13000	24487500	22791071.4285714
187049	1	0	13500	24741666.6666667	22789285.7142857
187049	1	0	14000	24416666.6666667	22821428.5714286
187049	1	0	14500	24125000	22910714.2857143
187049	1	0	15000	23700000	22557142.8571429
187049	1	0	15500	23083333.3333333	22285714.2857143
187049	1	0	16000	23129166.6666667	21873214.2857143
187049	1	0	16500	22533333.3333333	21521428.5714286
187049	1	0	17000	22420833.3333333	21391071.4285714
187049	1	0	17500	22145833.3333333	21044642.8571429
187049	1	0	18000	21795833.3333333	20730357.1428571
187049	1	0	18500	21287500	20341071.4285714
187049	1	0	19000	20975000	20082142.8571429
187049	1	0	19500	20658333.3333333	19967857.1428571
187049	1	0	20000	20362500	19487500
205151	1	1	11191	25066666.6666667	22701785.7142857
205151	1	0	5000	19875000	17410714.2857143
205151	1	0	5500	20141666.6666667	18046428.5714286
205151	1	0	6000	20820833.3333333	19005357.1428571
205151	1	0	6500	22358333.3333333	19453571.4285714
205151	1	0	7000	23308333.3333333	20082142.8571429
205151	1	0	7500	23891666.6666667	20582142.8571429
205151	1	0	8000	24266666.6666667	20885714.2857143
205151	1	0	8500	24495833.3333333	21394642.8571429
205151	1	0	9000	24379166.6666667	21266071.4285714
205151	1	0	9500	24862500	22094642.8571429
205151	1	0	10000	25291666.6666667	22446428.5714286
205151	1	0	10500	25304166.6666667	22405357.1428571
205151	1	0	11000	25141666.6666667	22725000
205151	1	0	11500	25354166.6666667	22741071.4285714
205151	1	0	12000	25087500	22676785.7142857
205151	1	0	12500	24987500	22469642.8571429
205151	1	0	13000	24566666.6666667	22400000
205151	1	0	13500	24325000	22110714.2857143
205151	1	0	14000	24087500	22391071.4285714
205151	1	0	14500	23654166.6666667	22183928.5714286
205151	1	0	15000	23341666.6666667	21853571.4285714
205151	1	0	15500	23158333.3333333	21682142.8571429
205151	1	0	16000	22854166.6666667	21633928.5714286
205151	1	0	16500	22341666.6666667	21532142.8571429
205151	1	0	17000	21895833.3333333	20973214.2857143
205151	1	0	17500	22087500	21069642.8571429
205151	1	0	18000	21925000	20817857.1428571
205151	1	0	18500	21654166.6666667	20326785.7142857
205151	1	0	19000	21316666.6666667	20221428.5714286
205151	1	0	19500	20825000	19825000
205151	1	0	20000	20475000	19653571.4285714
813697	1	1	11191	24566666.6666667	22058928.5714286
813697	1	0	5000	20329166.6666667	16573214.2857143
813697	1	0	5500	21412500	17216071.4285714
813697	1	0	6000	22320833.3333333	17791071.4285714
813697	1	0	6500	22858333.3333333	18596428.5714286
813697	1	0	7000	22608333.3333333	19310714.2857143
813697	1	0	7500	23270833.3333333	19848214.2857143
813697	1	0	8000	23354166.6666667	20562500
813697	1	0	8500	24700000	20807142.8571429
813697	1	0	9000	24408333.3333333	21325000
813697	1	0	9500	24416666.6666667	21714285.7142857
813697	1	0	10000	24487500	21933928.5714286
813697	1	0	10500	24429166.6666667	21637500
813697	1	0	11000	24504166.6666667	22212500
813697	1	0	11500	24208333.3333333	22160714.2857143
813697	1	0	12000	24012500	22351785.7142857
813697	1	0	12500	24479166.6666667	22044642.8571429
813697	1	0	13000	24191666.6666667	22203571.4285714
813697	1	0	13500	24191666.6666667	22167857.1428571
813697	1	0	14000	23870833.3333333	22055357.1428571
813697	1	0	14500	23762500	21637500
813697	1	0	15000	23445833.3333333	21523214.2857143
813697	1	0	15500	23416666.6666667	21571428.5714286
813697	1	0	16000	23291666.6666667	21375000
813697	1	0	16500	23208333.3333333	21232142.8571429
813697	1	0	17000	22704166.6666667	20983928.5714286
813697	1	0	17500	22341666.6666667	20603571.4285714
813697	1	0	18000	22033333.3333333	20271428.5714286
813697	1	0	18500	21425000	20210714.2857143
813697	1	0	19000	20791666.6666667	20089285.7142857
813697	1	0	19500	20533333.3333333	19807142.8571429
813697	1	0	20000	19900000	19471428.5714286
344719	1	1	11191	24466666.6666667	22173214.2857143
344719	1	0	5000	18387500	16548214.2857143
344719	1	0	5500	19491666.6666667	17253571.4285714
344719	1	0	6000	20437500	17883928.5714286
344719	1	0	6500	20695833.3333333	19023214.2857143
344719	1	0	7000	22425000	19960714.2857143
344719	1	0	7500	23254166.6666667	20069642.8571429
344719	1	0	8000	23579166.6666667	20323214.2857143
344719	1	0	8500	23804166.6666667	21119642.8571429
344719	1	0	9000	23845833.3333333	21494642.8571429
344719	1	0	9500	24400000	21792857.1428571
344719	1	0	10000	24304166.6666667	21941071.4285714
344719	1	0	10500	24354166.6666667	22098214.2857143
344719	1	0	11000	24720833.3333333	22048214.2857143
344719	1	0	11500	24779166.6666667	21987500
344719	1	0	12000	24487500	21862500
344719	1	0	12500	24754166.6666667	22069642.8571429
344719	1	0	13000	24400000	22114285.7142857
344719	1	0	13500	23945833.3333333	21916071.4285714
344719	1	0	14000	23329166.6666667	21858928.5714286
344719	1	0	14500	23258333.3333333	21567857.1428571
344719	1	0	15000	23158333.3333333	21717857.1428571
344719	1	0	15500	22904166.6666667	21505357.1428571
344719	1	0	16000	22420833.3333333	21533928.5714286
344719	1	0	16500	22095833.3333333	21208928.5714286
344719	1	0	17000	21733333.3333333	21328571.4285714
344719	1	0	17500	21954166.6666667	20983928.5714286
344719	1	0	18000	21483333.3333333	20721428.5714286
344719	1	0	18500	20991666.6666667	20539285.7142857
344719	1	0	19000	20512500	20280357.1428571
344719	1	0	19500	20066666.6666667	19864285.7142857
344719	1	0	20000	19575000	19396428.5714286
