semilla	subsamping	oficial	meseta	ganancia_Public	ganancia_Private
999983	1	1	11084	23920833.3333333	20741071.4285714
999983	1	0	5000	18595833.3333333	15673214.2857143
999983	1	0	5500	19520833.3333333	16883928.5714286
999983	1	0	6000	20229166.6666667	17187500
999983	1	0	6500	20450000	17842857.1428571
999983	1	0	7000	20916666.6666667	18178571.4285714
999983	1	0	7500	2.2e+07	18892857.1428571
999983	1	0	8000	22375000	18839285.7142857
999983	1	0	8500	22870833.3333333	19876785.7142857
999983	1	0	9000	23362500	20130357.1428571
999983	1	0	9500	23350000	20242857.1428571
999983	1	0	10000	23895833.3333333	20473214.2857143
999983	1	0	10500	24158333.3333333	20467857.1428571
999983	1	0	11000	24054166.6666667	20619642.8571429
999983	1	0	11500	23758333.3333333	20996428.5714286
999983	1	0	12000	23429166.6666667	21030357.1428571
999983	1	0	12500	22858333.3333333	21596428.5714286
999983	1	0	13000	22620833.3333333	21876785.7142857
999983	1	0	13500	22683333.3333333	21671428.5714286
999983	1	0	14000	22400000	21542857.1428571
999983	1	0	14500	21787500	21483928.5714286
999983	1	0	15000	22116666.6666667	21521428.5714286
999983	1	0	15500	22287500	21912500
999983	1	0	16000	21825000	21717857.1428571
999983	1	0	16500	2.2e+07	21607142.8571429
999983	1	0	17000	21900000	21471428.5714286
999983	1	0	17500	21383333.3333333	21014285.7142857
999983	1	0	18000	20741666.6666667	20825000
999983	1	0	18500	20379166.6666667	20658928.5714286
999983	1	0	19000	20479166.6666667	20223214.2857143
999983	1	0	19500	20070833.3333333	20148214.2857143
999983	1	0	20000	19716666.6666667	19835714.2857143
378821	1	1	11084	24258333.3333333	21882142.8571429
378821	1	0	5000	18729166.6666667	15330357.1428571
378821	1	0	5500	19470833.3333333	17333928.5714286
378821	1	0	6000	20045833.3333333	18123214.2857143
378821	1	0	6500	20945833.3333333	18701785.7142857
378821	1	0	7000	20616666.6666667	19235714.2857143
378821	1	0	7500	21120833.3333333	19769642.8571429
378821	1	0	8000	22612500	20237500
378821	1	0	8500	22633333.3333333	20121428.5714286
378821	1	0	9000	23254166.6666667	20248214.2857143
378821	1	0	9500	23300000	20621428.5714286
378821	1	0	10000	23470833.3333333	21155357.1428571
378821	1	0	10500	23708333.3333333	21446428.5714286
378821	1	0	11000	24366666.6666667	21914285.7142857
378821	1	0	11500	24237500	21933928.5714286
378821	1	0	12000	24508333.3333333	22425000
378821	1	0	12500	24045833.3333333	22301785.7142857
378821	1	0	13000	23954166.6666667	22591071.4285714
378821	1	0	13500	23470833.3333333	22191071.4285714
378821	1	0	14000	22862500	21916071.4285714
378821	1	0	14500	23150000	21614285.7142857
378821	1	0	15000	22820833.3333333	21362500
378821	1	0	15500	22520833.3333333	21026785.7142857
378821	1	0	16000	22050000	21264285.7142857
378821	1	0	16500	21983333.3333333	21257142.8571429
378821	1	0	17000	21479166.6666667	21008928.5714286
378821	1	0	17500	21066666.6666667	20721428.5714286
378821	1	0	18000	21091666.6666667	20460714.2857143
378821	1	0	18500	20812500	19973214.2857143
378821	1	0	19000	20495833.3333333	19787500
378821	1	0	19500	20362500	19380357.1428571
378821	1	0	20000	20354166.6666667	18848214.2857143
964333	1	1	11084	24416666.6666667	22171428.5714286
964333	1	0	5000	17629166.6666667	15873214.2857143
964333	1	0	5500	19679166.6666667	16816071.4285714
964333	1	0	6000	20179166.6666667	17280357.1428571
964333	1	0	6500	20937500	17848214.2857143
964333	1	0	7000	21370833.3333333	18198214.2857143
964333	1	0	7500	22025000	18453571.4285714
964333	1	0	8000	22970833.3333333	18941071.4285714
964333	1	0	8500	23395833.3333333	19437500
964333	1	0	9000	23616666.6666667	20307142.8571429
964333	1	0	9500	23416666.6666667	20785714.2857143
964333	1	0	10000	24270833.3333333	21169642.8571429
964333	1	0	10500	24116666.6666667	21485714.2857143
964333	1	0	11000	24508333.3333333	22210714.2857143
964333	1	0	11500	24204166.6666667	22233928.5714286
964333	1	0	12000	23679166.6666667	22423214.2857143
964333	1	0	12500	23175000	22389285.7142857
964333	1	0	13000	24066666.6666667	22542857.1428571
964333	1	0	13500	23633333.3333333	22550000
964333	1	0	14000	23525000	22489285.7142857
964333	1	0	14500	23154166.6666667	22326785.7142857
964333	1	0	15000	22645833.3333333	22080357.1428571
964333	1	0	15500	22970833.3333333	22048214.2857143
964333	1	0	16000	22470833.3333333	21655357.1428571
964333	1	0	16500	22495833.3333333	21323214.2857143
964333	1	0	17000	22325000	21360714.2857143
964333	1	0	17500	21716666.6666667	20871428.5714286
964333	1	0	18000	21641666.6666667	20510714.2857143
964333	1	0	18500	21095833.3333333	20566071.4285714
964333	1	0	19000	20712500	20480357.1428571
964333	1	0	19500	20095833.3333333	20280357.1428571
964333	1	0	20000	19537500	19769642.8571429
187049	1	1	11084	23391666.6666667	21825000
187049	1	0	5000	18112500	16023214.2857143
187049	1	0	5500	18604166.6666667	16705357.1428571
187049	1	0	6000	19491666.6666667	17217857.1428571
187049	1	0	6500	19733333.3333333	17935714.2857143
187049	1	0	7000	20775000	18239285.7142857
187049	1	0	7500	21333333.3333333	18607142.8571429
187049	1	0	8000	21725000	19403571.4285714
187049	1	0	8500	22433333.3333333	20207142.8571429
187049	1	0	9000	23320833.3333333	20791071.4285714
187049	1	0	9500	23341666.6666667	20960714.2857143
187049	1	0	10000	23433333.3333333	20957142.8571429
187049	1	0	10500	23129166.6666667	21408928.5714286
187049	1	0	11000	23320833.3333333	21576785.7142857
187049	1	0	11500	23195833.3333333	22237500
187049	1	0	12000	23387500	22191071.4285714
187049	1	0	12500	23300000	22050000
187049	1	0	13000	22987500	21648214.2857143
187049	1	0	13500	22408333.3333333	21646428.5714286
187049	1	0	14000	22445833.3333333	21737500
187049	1	0	14500	22658333.3333333	21539285.7142857
187049	1	0	15000	22845833.3333333	21351785.7142857
187049	1	0	15500	23250000	2.1e+07
187049	1	0	16000	23291666.6666667	20803571.4285714
187049	1	0	16500	22820833.3333333	20541071.4285714
187049	1	0	17000	22308333.3333333	20367857.1428571
187049	1	0	17500	22029166.6666667	20094642.8571429
187049	1	0	18000	21629166.6666667	20016071.4285714
187049	1	0	18500	20891666.6666667	19939285.7142857
187049	1	0	19000	20566666.6666667	19828571.4285714
187049	1	0	19500	20083333.3333333	19642857.1428571
187049	1	0	20000	19762500	19316071.4285714
205151	1	1	11084	23787500	21869642.8571429
205151	1	0	5000	19516666.6666667	16492857.1428571
205151	1	0	5500	20237500	17505357.1428571
205151	1	0	6000	20458333.3333333	18089285.7142857
205151	1	0	6500	20808333.3333333	18332142.8571429
205151	1	0	7000	21662500	19001785.7142857
205151	1	0	7500	21908333.3333333	19360714.2857143
205151	1	0	8000	21970833.3333333	20012500
205151	1	0	8500	22866666.6666667	20235714.2857143
205151	1	0	9000	23541666.6666667	20839285.7142857
205151	1	0	9500	24212500	21087500
