semilla	subsamping	oficial	meseta	ganancia_Public	ganancia_Private
999983	1	1	13416	23200000	22671428.5714286
999983	1	0	5000	17287500	14876785.7142857
999983	1	0	5500	18145833.3333333	15687500
999983	1	0	6000	18566666.6666667	16757142.8571429
999983	1	0	6500	18958333.3333333	17410714.2857143
999983	1	0	7000	20791666.6666667	17803571.4285714
999983	1	0	7500	21487500	18683928.5714286
999983	1	0	8000	21858333.3333333	19203571.4285714
999983	1	0	8500	22437500	19419642.8571429
999983	1	0	9000	23237500	20326785.7142857
999983	1	0	9500	23283333.3333333	20485714.2857143
999983	1	0	10000	23691666.6666667	21132142.8571429
999983	1	0	10500	23916666.6666667	21500000
999983	1	0	11000	23579166.6666667	22108928.5714286
999983	1	0	11500	23816666.6666667	21900000
999983	1	0	12000	24220833.3333333	22119642.8571429
999983	1	0	12500	23954166.6666667	22412500
999983	1	0	13000	23729166.6666667	22544642.8571429
999983	1	0	13500	23083333.3333333	22714285.7142857
999983	1	0	14000	22691666.6666667	22632142.8571429
999983	1	0	14500	22579166.6666667	22573214.2857143
999983	1	0	15000	22308333.3333333	22367857.1428571
999983	1	0	15500	22687500	22098214.2857143
999983	1	0	16000	22308333.3333333	21725000
999983	1	0	16500	21666666.6666667	21392857.1428571
999983	1	0	17000	21533333.3333333	21057142.8571429
999983	1	0	17500	21387500	20655357.1428571
999983	1	0	18000	21141666.6666667	20153571.4285714
999983	1	0	18500	20645833.3333333	19758928.5714286
999983	1	0	19000	20583333.3333333	19464285.7142857
999983	1	0	19500	20083333.3333333	19071428.5714286
999983	1	0	20000	19720833.3333333	18762500
378821	1	1	13416	23308333.3333333	22696428.5714286
378821	1	0	5000	16941666.6666667	15025000
378821	1	0	5500	17995833.3333333	15608928.5714286
378821	1	0	6000	18408333.3333333	16825000
378821	1	0	6500	18891666.6666667	17082142.8571429
378821	1	0	7000	20904166.6666667	17969642.8571429
378821	1	0	7500	21787500	18483928.5714286
378821	1	0	8000	22354166.6666667	19348214.2857143
378821	1	0	8500	23191666.6666667	19739285.7142857
378821	1	0	9000	23262500	19958928.5714286
378821	1	0	9500	23562500	20794642.8571429
378821	1	0	10000	23604166.6666667	20883928.5714286
378821	1	0	10500	23504166.6666667	21248214.2857143
378821	1	0	11000	23091666.6666667	21746428.5714286
378821	1	0	11500	23508333.3333333	22103571.4285714
378821	1	0	12000	23745833.3333333	22394642.8571429
378821	1	0	12500	23812500	22401785.7142857
378821	1	0	13000	23525000	22560714.2857143
378821	1	0	13500	23175000	22746428.5714286
378821	1	0	14000	22895833.3333333	22544642.8571429
378821	1	0	14500	22579166.6666667	22287500
378821	1	0	15000	22466666.6666667	22157142.8571429
378821	1	0	15500	22679166.6666667	21887500
378821	1	0	16000	22233333.3333333	21614285.7142857
378821	1	0	16500	22179166.6666667	21244642.8571429
378821	1	0	17000	21700000	20771428.5714286
378821	1	0	17500	21262500	20708928.5714286
378821	1	0	18000	20812500	20223214.2857143
378821	1	0	18500	20533333.3333333	19807142.8571429
378821	1	0	19000	20433333.3333333	19457142.8571429
378821	1	0	19500	20412500	19001785.7142857
378821	1	0	20000	19991666.6666667	18717857.1428571
964333	1	1	13416	23104166.6666667	22641071.4285714
964333	1	0	5000	16970833.3333333	14583928.5714286
964333	1	0	5500	17975000	15617857.1428571
964333	1	0	6000	17887500	16476785.7142857
964333	1	0	6500	18954166.6666667	17555357.1428571
964333	1	0	7000	20595833.3333333	17601785.7142857
964333	1	0	7500	21137500	18405357.1428571
964333	1	0	8000	22520833.3333333	19133928.5714286
964333	1	0	8500	22691666.6666667	19596428.5714286
964333	1	0	9000	22708333.3333333	20267857.1428571
964333	1	0	9500	23462500	20551785.7142857
964333	1	0	10000	23466666.6666667	21014285.7142857
