semilla	subsamping	oficial	meseta	ganancia
999983	0.1	1	11005	13443750
999983	0.1	0	5000	11200000
999983	0.1	0	5500	11525000
999983	0.1	0	6000	11800000
999983	0.1	0	6500	12425000
999983	0.1	0	7000	12400000
999983	0.1	0	7500	12525000
999983	0.1	0	8000	12600000
999983	0.1	0	8500	12925000
999983	0.1	0	9000	13150000
999983	0.1	0	9500	13475000
999983	0.1	0	10000	13350000
999983	0.1	0	10500	13325000
999983	0.1	0	11000	13450000
999983	0.1	0	11500	13425000
999983	0.1	0	12000	13350000
999983	0.1	0	12500	13175000
999983	0.1	0	13000	1.3e+07
999983	0.1	0	13500	12775000
999983	0.1	0	14000	1.3e+07
999983	0.1	0	14500	12725000
999983	0.1	0	15000	12300000
378821	0.1	1	11005	13243750
378821	0.1	0	5000	11200000
378821	0.1	0	5500	11525000
378821	0.1	0	6000	11700000
378821	0.1	0	6500	11975000
378821	0.1	0	7000	12400000
378821	0.1	0	7500	12375000
378821	0.1	0	8000	12850000
378821	0.1	0	8500	12925000
378821	0.1	0	9000	13150000
378821	0.1	0	9500	13275000
378821	0.1	0	10000	1.3e+07
378821	0.1	0	10500	13025000
378821	0.1	0	11000	13250000
378821	0.1	0	11500	12925000
378821	0.1	0	12000	12850000
378821	0.1	0	12500	12875000
378821	0.1	0	13000	12850000
378821	0.1	0	13500	12675000
378821	0.1	0	14000	12600000
378821	0.1	0	14500	12475000
378821	0.1	0	15000	12450000
964333	0.1	1	11005	13543750
964333	0.1	0	5000	11200000
964333	0.1	0	5500	11425000
964333	0.1	0	6000	11600000
964333	0.1	0	6500	12025000
964333	0.1	0	7000	12350000
964333	0.1	0	7500	12625000
964333	0.1	0	8000	12900000
964333	0.1	0	8500	13175000
964333	0.1	0	9000	13350000
964333	0.1	0	9500	13575000
964333	0.1	0	10000	13850000
964333	0.1	0	10500	13775000
964333	0.1	0	11000	13550000
964333	0.1	0	11500	13375000
964333	0.1	0	12000	13400000
964333	0.1	0	12500	13325000
964333	0.1	0	13000	13200000
964333	0.1	0	13500	13075000
964333	0.1	0	14000	12900000
964333	0.1	0	14500	12625000
964333	0.1	0	15000	12250000
187049	0.1	1	11005	13593750
187049	0.1	0	5000	10850000
187049	0.1	0	5500	11475000
187049	0.1	0	6000	1.2e+07
187049	0.1	0	6500	12225000
187049	0.1	0	7000	12100000
187049	0.1	0	7500	12475000
187049	0.1	0	8000	13100000
187049	0.1	0	8500	13125000
187049	0.1	0	9000	13500000
187049	0.1	0	9500	13725000
187049	0.1	0	10000	13550000
187049	0.1	0	10500	13525000
187049	0.1	0	11000	13600000
187049	0.1	0	11500	13625000
187049	0.1	0	12000	13400000
